site,lat,lon
AT-Neu,47.1166,11.3175
AU-Cpr,-34.002,140.5891
AU-DaP,-14.0633,131.318
AU-DaS,-14.1592,131.388
AU-Dry,-15.2587,132.3706
AU-How,-12.4952,131.1499
AU-Lit,-13.179,130.7944
AU-Stp,-17.1506,133.3502
BE-Bra,51.3091,4.5205
BE-Lon,50.5515,4.7461
BE-Vie,50.305,5.998
CA-Qfo,49.6925,-74.3421
CA-SF1,54.485,-105.8175
CA-SF2,54.2538,-105.8775
CA-SF3,54.0915,-106.0053
CH-Cha,47.2102,8.4104
CH-Dav,46.8153,9.8559
CH-Fru,47.1158,8.5377
CN-Cng,44.5933,123.5092
CN-Du2,42.0466,116.2835
CN-HaM,37.3699,101.18
CZ-wet,49.0246,14.7703
DE-Bay,50.1419,11.8669
DE-Geb,51.1001,10.9142
DE-Gri,50.9494,13.5125
DE-Hai,51.0791,10.453
DE-Kli,50.893,13.5223
DE-Meh,51.2753,10.6554
DE-Obe,50.7866,13.7212
DE-Seh,50.8706,6.4496
DE-SfN,47.8063,11.3275
DE-Tha,50.9636,13.5669
DE-Wet,50.4534,11.4575
DK-Lva,55.6833,12.0832
DK-Sor,55.4858,11.6446
ES-LMa,39.9426,-5.7733
FI-Hyy,61.8474,24.295
FI-Lom,67.9972,24.2091
FI-Sod,67.3618,26.6378
FR-Gri,48.8442,1.9519
FR-Hes,48.6741,7.0655
FR-LBr,44.7171,-0.7692
FR-Pue,43.7413,3.5958
HU-Bug,46.6911,19.6012
IE-Dri,51.9866,-8.7518
IT-Amp,41.904,13.6051
IT-Cpz,41.7052,12.3761
IT-Isp,45.8126,8.6335
IT-Lav,45.9561,11.2813
IT-MBo,46.0146,11.0458
IT-Noe,40.6061,8.1516
IT-PT1,45.2008,9.061
IT-Ren,46.5868,11.4336
IT-SR2,43.732,10.2909
IT-SRo,43.7278,10.2844
NL-Ca1,51.971,4.927
NL-Loo,52.1665,5.7435
PL-wet,52.7621,16.3094
PT-Mi2,38.4765,-8.0245
RU-Fyo,56.4615,32.922
SD-Dem,13.2828,30.4783
US-AR1,36.4267,-99.4199
US-AR2,36.6357,-99.5975
US-ARM,36.6058,-97.4888
US-Aud,31.5907,-110.5092
US-Bkg,44.3452,-96.8361
US-Bo1,40.0061,-88.2903
US-FPe,48.3077,-105.1018
US-GLE,41.3665,-106.2398
US-Goo,34.2546,-89.8734
US-Ho1,45.2041,-68.7401
US-KS2,28.6085,-80.6715
US-Los,46.0826,-89.9792
US-Me2,44.4523,-121.5574
US-Me4,44.4991,-121.6223
US-Me6,44.3232,-121.6078
US-MMS,39.3232,-86.4131
US-MOz,38.7441,-92.2
US-Ne3,41.1796,-96.4396
US-NR1,40.0329,-105.5464
US-SP2,29.7647,-82.2448
US-SP3,29.7547,-82.1632
US-SRG,31.7894,-110.8276
US-SRM,31.8213,-110.8659
US-Syv,46.242,-89.3477
US-Ton,38.4315,-120.966
US-Var,38.4132,-120.9507
US-WCr,45.8059,-90.0799
US-Whs,31.7437,-110.0522
US-Wkg,31.7364,-109.9419
