Site,Excluded year (Reason),Select_year,Data release
AT-Neu,2002-2003 (VPD),2004-2012,FLUXNET2015
AU-Cpr,2013-2014 (Flux),"2011-2012, 2015-2017",OzFlux
AU-DaP,"2009,2011-2012 (Flux)",2010,OzFlux
AU-DaS,"2010-2011, 2014-2015, 2017 (Flux)","2012-2013, 2016",OzFlux
AU-Dry,"2011-2012, 2014-2015 (Flux)",2013,OzFlux
AU-How,2003-2015 (Flux),2016-2017,OzFlux
AU-Lit,2016 (Flux),2017,OzFlux
AU-Stp,"2010-2014, 2016-2017 (Flux)",2015,OzFlux
BE-Bra,"2004, 2013 (Flux); 2005, 2006, 2010 (VPD)","2007-2009, 2011-2012, 2014",FLUXNET2015
BE-Lon,"2006, 2007 (Flux); 2009-2010 (VPD)","2005, 2008, 2011-2014",FLUXNET2015
BE-Vie,"2004, 2006, 2009, 2012-2013 (Flux); 1999 (VPD)","1997-1998, 2000-2003, 2005, 2007-2008, 2010-2011, 2014",FLUXNET2015
CA-Qfo,"2004, 2009, 2010 (Flux)",2005-2008,FLUXNET2015
CA-SF1,2006 (Flux),2004-2005,FLUXNET2015
CA-SF2,2005 (Flux),2003-2004,FLUXNET2015
CA-SF3,2005 (VPD),2003-2004,FLUXNET2015
CH-Cha,"2009 (Flux); 2007, 2011-2014 (VPD)","2006, 2008, 2010",FLUXNET2015
CH-Dav,2005 (Flux); 1998-1999 (VPD),"1997, 2000-2004, 2006-2014",FLUXNET2015
CH-Fru,2009-2010 (Flux); 2011 (VPD),"2007-2008, 2012-2014",FLUXNET2015
CN-Cng,——,2008-2009,FLUXNET2015
CN-Du2,——,2007-2008,FLUXNET2015
CN-HaM,2002 (Flux),2003,FLUXNET2015
CZ-wet,2013 (VPD),"2007-2012, 2014",FLUXNET2015
DE-Bay,1997 (Flux); 1999(VPD),1998,LaThuile
DE-Geb,——,2001-2014,FLUXNET2015
DE-Gri,——,2004-2014,FLUXNET2015
DE-Hai,2010-2012 (Flux),2000-2009,FLUXNET2015
DE-Kli,"2008-2009, 2013 (Flux)","2005-2007, 2010-2012, 2014",FLUXNET2015
DE-Meh,——,2004-2006,LaThuile
DE-Obe,2009 (VPD),"2008, 2010-2014",FLUXNET2015
DE-Seh,2010 (Flux),2008-2009,FLUXNET2015
