site,qc,source
AT-Neu,0,"Gilmanov et al., 2007"
AU-Cpr,2,"Lin et al., 2023"
AU-DaP,2,"Lin et al., 2023"
AU-DaS,2,"Lin et al., 2023"
AU-Dry,2,"Lin et al., 2023"
AU-How,0,"Hutley et al., 2000"
AU-Lit,2,"Lin et al., 2023"
AU-Stp,2,"Lin et al., 2023"
BE-Bra,0,"Carrara et al., 2004"
BE-Lon,2,"Lin et al., 2023"
BE-Vie,1,"van Wijk and Bouten et al., 2000"
CA-Qfo,1,"Chen et al., 2006"
CA-SF1,1,"Amiro, 2009"
CA-SF2,1,"Amiro, 2009"
CA-SF3,1,"Amiro, 2009"
CH-Cha,2,"Lin et al., 2023"
CH-Dav,0,"Etzold et al., 2011"
CH-Fru,2,"Lin et al., 2023"
CN-Cng,2,"Lin et al., 2023"
CN-Du2,0,"Miao et al., 2009"
CN-HaM,2,"Lin et al., 2023"
CZ-wet,2,"Lin et al., 2023"
DE-Bay,1,"van Wijk and Bouten et al., 2000"
DE-Geb,0,"P. M. Anthoni et al., 2004"
DE-Gri,0,"Hussain et al., 2011"
DE-Hai,0,"Knohl et al., 2003"
DE-Kli,2,"Lin et al., 2023"
DE-Meh,2,"Lin et al., 2023"
DE-Obe,2,"Lin et al., 2023"
DE-Seh,0,"Schmidt et al., 2012"
DE-SfN,2,"Lin et al., 2023"
DE-Tha,0,"Slevin et al., 2015"
DE-Wet,1,"P. M. Anthoni et al., 2004"
DK-Lva,0,"Gilmanov et al., 2007"
DK-Sor,0,"Pilegaard et al., 2004"
ES-LMa,0,"El-Madany et al., 2018"
FI-Hyy,0,"Slevin et al., 2015"
FI-Lom,0,"Aurela et al.,2015"
FI-Sod,1,"Launiainen et al.,2016"
FR-Gri,0,"Loubet et al., 2011"
FR-Hes,0,"Granier et al., 2000"
FR-LBr,0,"Rivalland et al., 2005"
FR-Pue,1,"Reichstein et al., 2002"
HU-Bug,0,"Gilmanov et al., 2007"
IE-Dri,0,"Lawton et al., 2006"
IT-Amp,0,"Gilmanov et al., 2007"
IT-Cpz,1,"Reichstein et al., 2002"
IT-Isp,2,"Lin et al., 2023"
IT-Lav,2,"Lin et al., 2023"
IT-MBo,0,"Gilmanov et al., 2007"
IT-Noe,0,"Morillas et al., 2017"
IT-PT1,0,"Migliavacca et al., 2009"
IT-Ren,1,"Montagnani et al., 2009"
IT-SR2,0,"Chiesi et al., 2005"
IT-SRo,0,"Chiesi et al., 2005"
NL-Ca1,1,"Jacobs et al., 2007"
NL-Loo,0,"Moors et al., 2012"
PL-wet,1,"Lund et al., 2009"
PT-Mi2,1,"Pereira et al., 2007"
RU-Fyo,1,"Launiainen et al.,2016"
SD-Dem,2,"Lin et al., 2023"
US-AR1,2,"Lin et al., 2023"
US-AR2,2,"Lin et al., 2023"
US-ARM,0,"Fischer et al., 2007"
US-Aud,0,"Krishnan et al., 2012"
US-Bkg,0,"Hollinger et al., 2010"
US-Bo1,0,"Meyers, 2004"
US-FPe,0,"Slevin et al., 2015"
US-GLE,0,"Chu et al., 2018"
US-Goo,1,"Hollinger et al., 2010"
US-Ho1,0,AmeriFlux BADM
US-KS2,0,"Powell et al., 2006"
US-Los,1,"Desai et al., 2008"
US-Me2,0,AmeriFlux BADM
US-Me4,0,"P. M. Anthoni et al., 2002"
US-Me6,0,"Chu et al., 2018"
US-MMS,0,"Slevin et al., 2015"
US-MOz,0,AmeriFlux BADM
US-Ne3,0,AmeriFlux BADM
US-NR1,0,AmeriFlux BADM
US-SP2,0,AmeriFlux BADM
US-SP3,0,AmeriFlux BADM
US-SRG,2,"Lin et al., 2023"
US-SRM,0,"Scott et al., 2009"
US-Syv,0,"Tang et al., 2006"
US-Ton,0,"Lin et al., 2023"
US-Var,0,AmeriFlux BADM
US-WCr,0,"Chu et al., 2018"
US-Whs,2,"Lin et al., 2023"
US-Wkg,0,"Scott et al., 2010"
