site,variable,value,source,doi/web,sup_info
AT-Neu,pft0,0,Site picture,http://www.biomet.co.at/,
AT-Neu,pft1,0,,,
AT-Neu,pft2,0,,,
AT-Neu,pft3,0,,,
AT-Neu,pft4,0,,,
AT-Neu,pft5,0,,,
AT-Neu,pft6,0,,,
AT-Neu,pft7,0,,,
AT-Neu,pft8,0,,,
AT-Neu,pft9,0,,,
AT-Neu,pft10,0,,,
AT-Neu,pft11,0,,,
AT-Neu,pft12,0,,,
AT-Neu,pft13,100,,,
AT-Neu,pft14,0,,,
AT-Neu,pft15,0,,,
AT-Neu,sand,58,Wohlfahrt et al.(2008),https://doi.org/10.1029/2007JD009286,
AT-Neu,silt,32,,,
AT-Neu,clay,10,,,
AT-Neu,LAI,4.6,Gilmanov et al.(2007),https://doi.org/10.1016/j.agee.2006.12.008,
AT-Neu,canopy height,0.17,FLUXNET BADM,https://fluxnet.org/,
AT-Neu,reference height,3,Wohlfahrt et al.(2008),https://doi.org/10.1029/2007JD009286,wind speed
AT-Neu,lat,47.1166,,,
AT-Neu,lon,11.3175,,,
AT-Neu,tex_depth,2-50cm,,,
AT-Neu,LAI_year_range,2001,,,
AU-Cpr,pft0,0,Satellite data. Harper et al.(2022),https://doi.org/10.5194/essd-2022-296,
AU-Cpr,pft1,0,,,
AU-Cpr,pft2,0,,,
AU-Cpr,pft3,0,,,
AU-Cpr,pft4,0,,,
AU-Cpr,pft5,0,,,
AU-Cpr,pft6,0,,,
AU-Cpr,pft7,0,,,
AU-Cpr,pft8,0,,,
AU-Cpr,pft9,0,,,
AU-Cpr,pft10,16,,,
AU-Cpr,pft11,0,,,
AU-Cpr,pft12,0,,,
AU-Cpr,pft13,42,,,
AU-Cpr,pft14,42,,,
AU-Cpr,pft15,0,,,
AU-Cpr,sand,92,"(Meyer et al., 2015)",https://doi.org/10.1002/hyp.10467,
AU-Cpr,silt,5,,,
AU-Cpr,clay,3,,,
AU-Cpr,LAI,0.9,shijie,Na,
AU-Cpr,canopy height,2.62,FLUXNET BADM,https://fluxnet.org/,
AU-Cpr,reference height,10,OzFlux ,https://ozflux.org.au/,wind speed
AU-Cpr,lat,-34.002,,,
AU-Cpr,lon,140.5891,,,
AU-Cpr,tex_depth,Na,,,
AU-Cpr,LAI_year_range,2011-2017,,,
AU-DaP,pft0,0,Satellite data. Harper et al.(2022),https://doi.org/10.5194/essd-2022-296,
AU-DaP,pft1,0,,,
AU-DaP,pft2,0,,,
AU-DaP,pft3,0,,,
AU-DaP,pft4,0,,,
AU-DaP,pft5,0,,,
AU-DaP,pft6,0,,,
AU-DaP,pft7,0,,,
AU-DaP,pft8,0,,,
AU-DaP,pft9,0,,,
AU-DaP,pft10,0,,,
AU-DaP,pft11,0,,,
AU-DaP,pft12,0,,,
AU-DaP,pft13,80,,,
AU-DaP,pft14,20,,,
AU-DaP,pft15,0,,,
AU-DaP,sand,92,"(Hutley et al., 2011)",https://doi.org/10.1016/j.agrformet.2011.03.002,
AU-DaP,silt,5,,,
AU-DaP,clay,3,,,
AU-DaP,LAI,4.8,shijie,Na,
AU-DaP,canopy height,1,FLUXNET BADM,https://fluxnet.org/,
AU-DaP,reference height,15,OzFlux ,https://ozflux.org.au/,wind speed
AU-DaP,lat,-14.0633,,,
AU-DaP,lon,131.318,,,
AU-DaP,tex_depth,Na,,,
AU-DaP,LAI_year_range,2010,,,
AU-DaS,pft0,0,Satellite data. Harper et al.(2022),https://doi.org/10.5194/essd-2022-296,
AU-DaS,pft1,0,,,
AU-DaS,pft2,0,,,
