site,TA_Height,measurement_variable_1,RH_Height,measurement_variable_2,Height_source,Height_web,soil_depth,soil_depth_source,soil_depth_web
AT-Neu,3,Temperature,3,Humidity,"Wohlfahrt et al., 2008",https://doi.org/10.1029/2007JD009286,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-Cpr,20,Temperature,20,Humidity,OzFlux,https://ozflux.org.au/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-DaP,15,Temperature,15,Humidity,OzFlux,https://ozflux.org.au/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-DaS,23,Temperature,23,Humidity,OzFlux,https://ozflux.org.au/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-Dry,15,Temperature,15,Humidity,OzFlux,https://ozflux.org.au/,10,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-How,23,Temperature,23,Humidity,OzFlux,https://ozflux.org.au/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-Lit,33,Temperature,33,Humidity,OzFlux,https://ozflux.org.au/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
AU-Stp,4.8,Temperature,4.8,Humidity,OzFlux,https://ozflux.org.au/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
BE-Bra,41,Temperature,41,Humidity,"Carrara et al., 2004",https://doi.org/10.1016/j.agrformet.2004.05.002,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
BE-Lon,1.3,Temperature,1.3,Humidity,"Moureaux et al., 2006",https://doi.org/10.1016/j.agrformet.2006.05.009,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
BE-Vie,22,Temperature,22,Humidity,"Aubinet et al., 2001",https://doi.org/10.1016/S0168-1923(01)00244-1,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CA-Qfo,24,Temperature,24,Humidity,AmeriFlux,https://ameriflux.lbl.gov/,27.5,AmeriFlux BADM,https://ameriflux.lbl.gov/
CA-SF1,1.5,Temperature,1.5,Humidity,AmeriFlux,https://ameriflux.lbl.gov/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CA-SF2,1.5,Temperature,1.5,Humidity,AmeriFlux,https://ameriflux.lbl.gov/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CA-SF3,1.5,Temperature,1.5,Humidity,AmeriFlux,https://ameriflux.lbl.gov/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CH-Cha,2,Temperature,2,Humidity,"Osterwalder et al., 2020",https://doi.org/10.5194/amt-13-2057-2020,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CH-Dav,35,Flux (latent heat and sensible heat),35,Flux (latent heat and sensible heat),"Etzold et al., 2011",https://doi.org/10.1007/s10021-011-9481-3,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CH-Fru,1.8,Temperature,1.8,Humidity,"Rogger et al., 2022",https://doi.org/10.1016/j.agrformet.2021.108801,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CN-Cng,6,Temperature,6,Humidity,ChinaFlux,http://www.chinaflux.org/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
CN-Du2,4,Temperature,4,Humidity,ChinaFlux,http://www.chinaflux.org/,30,ChinaFlux,http://www.chinaflux.org/
CN-HaM,2.2,Temperature,2.2,Humidity,ChinaFlux,http://www.chinaflux.org/,65,"Kato et al., 2006",https://doi.org/10.1111/j.1365-2486.2006.01153.x
CZ-wet,2,Temperature,2,Humidity,"Dušek et al., 2009",https://doi.org/10.1016/j.agrformet.2009.04.007,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
DE-Bay,31,Temperature,31,Humidity,"Foken, 2017",https://doi.org/10.1007/978-3-319-49389-3,100,"Schmid et al., 2006",https://doi.org/10.1007/s10113-006-0017-x
DE-Geb,6,Flux (latent heat and sensible heat),6,Flux (latent heat and sensible heat),"Peter M. Anthoni et al., 2004",https://doi.org/10.1016/S0168-1923(03)00162-X,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
DE-Gri,2,Temperature,2,Humidity,"Prescher et al., 2010",https://doi.org/10.1016/j.agrformet.2010.03.008,300,"Hussain et al., 2011",https://doi.org/10.1016/j.agee.2011.02.013
DE-Hai,42,Flux (latent heat and sensible heat),42,Flux (latent heat and sensible heat),FLUXNET BADM,https://fluxnet.org/,55,"Knohl et al., 2003",https://doi.org/10.1016/S0168-1923(03)00115-1
DE-Kli,2,Temperature,2,Humidity,"Prescher et al., 2010",https://doi.org/10.1016/j.agrformet.2010.03.008,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
DE-Meh,2,Temperature,2,Humidity,"Don et al., 2009",https://doi.org/10.1111/j.1365-2486.2009.01873.x,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
DE-Obe,30,Flux (latent heat and sensible heat),30,Flux (latent heat and sensible heat),FLUXNET BADM,https://fluxnet.org/,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
DE-Seh,2.2,Temperature,2.2,Humidity,"Schmidt et al., 2012",https://doi.org/10.1016/j.agrformet.2012.05.012,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
DE-SfN,6,Temperature,6,Humidity,"Hommeltenberg et al., 2014",https://doi.org/10.5194/bg-11-3477-2014,600,"Hommeltenberg et al., 2014",https://doi.org/10.5194/bg-11-3477-2014
DE-Tha,2,Temperature,2,Humidity,"Prescher et al., 2010",https://doi.org/10.1016/j.agrformet.2010.03.008,100,"Shangguan et al., 2014",https://doi.org/10.1002/2013MS000293
