site,select_year
AT-Neu,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012"
AU-Cpr,"2011, 2012, 2015, 2016, 2017"
AU-DaP,2010
AU-DaS,"2012, 2013, 2016"
AU-Dry,2013
AU-How,"2016, 2017"
AU-Lit,2017
AU-Stp,2015
BE-Bra,"2007, 2008, 2009, 2011, 2012, 2014"
BE-Lon,"2005, 2008, 2011, 2012, 2013, 2014"
BE-Vie,"1997, 1998, 2000, 2001, 2002, 2003, 2005, 2007, 2008, 2010, 2011, 2014"
CA-Qfo,"2005, 2006, 2007, 2008"
CA-SF1,"2004, 2005"
CA-SF2,"2003, 2004"
CA-SF3,"2003, 2004"
CH-Cha,"2006, 2008, 2010"
CH-Dav,"1997, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011,2012, 2013, 2014"
CH-Fru,"2007, 2008, 2012, 2013, 2014"
CN-Cng,"2008, 2009"
CN-Du2,"2008, 2007"
CN-HaM,2003
CZ-wet,"2007, 2008, 2009, 2010, 2011, 2012, 2014"
DE-Bay,1998
DE-Geb,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008,2009, 2010, 2011, 2012, 2013, 2014"
DE-Gri,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"
DE-Hai,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009"
DE-Kli,"2005, 2006, 2007, 2010, 2011, 2012, 2014"
DE-Meh,"2004, 2005, 2006"
DE-Obe,"2008, 2010, 2011, 2012, 2013, 2014"
DE-Seh,"2008, 2009"
DE-SfN,2014
DE-Tha,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014  "
DE-Wet,"2002, 2003, 2004, 2005, 2006"
DK-Lva,2006
DK-Sor,"1998, 1999, 2000, 2001, 2002, 2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013"
ES-LMa,"2004, 2005"
FI-Hyy,"1997, 1999, 2001, 2002, 2006, 2007, 2008, 2009"
FI-Lom,"2007, 2008, 2009"
FI-Sod,"2008, 2009, 2011, 2014"
FR-Gri,"2007, 2010, 2011, 2012, 2013"
FR-Hes,"1997, 1998, 1999, 2001, 2002, 2003, 2004, 2005, 2006"
FR-LBr,"2003, 2004, 2005, 2006, 2007"
FR-Pue,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014"
HU-Bug,2006
IE-Dri,"2003, 2004"
IT-Amp,"2003, 2004"
IT-Cpz,"2005, 2007"
IT-Isp,"2013, 2014"
IT-Lav,"2005, 2006, 2007, 2008, 2011, 2013"
IT-MBo,"2003, 2004, 2005, 2006, 2007, 2011, 2012"
IT-Noe,"2006, 2007, 2012"
IT-PT1,2003
IT-Ren,"2010, 2011, 2012, 2013"
IT-SR2,"2013, 2014"
IT-SRo,"2003, 2004, 2006, 2007, 2012"
NL-Ca1,"2003, 2004, 2006"
NL-Loo,"1997, 2000, 2002, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012"
PL-wet,2005
PT-Mi2,"2005, 2006"
RU-Fyo,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014"
SD-Dem,2009
US-AR1,"2010, 2011"
US-AR2,"2010, 2011"
US-ARM,"2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011"
US-Aud,"2004, 2005"
US-Bkg,2006
US-Bo1,"1997, 1998, 1999, 2002, 2003, 2005"
US-FPe,"2004, 2005, 2006"
US-GLE,"2009, 2010, 2011, 2012, 2013, 2014"
US-Goo,2006
US-Ho1,"1997, 1999, 2000, 2001, 2003, 2004"
US-KS2,"2004, 2005"
US-Los,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008"
US-Me2,"2002, 2004, 2005, 2008, 2009, 2010, 2012, 2013"
US-Me4,2000
US-Me6,2013
US-MMS,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"
US-MOz,"2005, 2006"
US-Ne3,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012"
US-NR1,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"
US-SP2,"2000, 2001, 2002, 2003, 2004"
US-SP3,"2001, 2002, 2003, 2004"
US-SRG,"2009, 2010, 2011, 2012, 2013, 2014"
US-SRM,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"
US-Syv,"2002, 2003, 2006"
US-Ton,"2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014 "
US-Var,"2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014 "
US-WCr,"2000, 2002, 2003, 2005"
US-Whs,"2008, 2009, 2010, 2011, 2012, 2013, 2014"
US-Wkg,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"
